Subject,Topic,Subtopic,Question,Explanation,Option A,Option B,Option C,Option D,Correct Option
Head And Neck (1),General,Head And Neck,Identify the incorrect statement regarding the marked structure.,"The accessory middle meningeal artery, usually originating from the maxillary or middle meningeal artery, ascends to the foramen ovale or a separate small foramen, making it independent from the pterion, which is an H-shaped formation of sutures that unites the frontal, parietal, temporal, and sphenoid bones.","It is the meeting point of frontal, parietal, temporal and sphenoid bones",Blow to the lateral side of the skull injures this structure,Accessory middle meningeal artery lies under this structure,It corresponds to site of anterolateral fontanelle of the fetal skull,C
Head And Neck (1),General,Head And Neck,Which of the following structures is not included in the laryngeal skeleton?,The hyoid bone is U-shaped in the neck and not part of the laryngeal skeleton.,A,B,C,D,A
Head And Neck (1),General,Head And Neck,Which of the following nerves is not involved in the movement of the eyeball?,The optic nerve transmits visual information and does not control eye movement.,A,B,C,D,A
Histology,General,Histology,Please identify the histology slide provided.,"The pancreas produces digestive enzymes and hormones, with acini appearing as grape-like structures and islets of Langerhans as lightly stained areas. Acini consist of cuboidal cells with eosinophilic cytoplasm due to zymogen granules, while islets are surrounded by capillaries.",Lymph node,Glomerulus,Spleen,Pancreas,D
Infectious Disease,Infections,Infection,Identify the correct ‘organism and drug to which it is intrinsically resistant’ pair.,"Candida Krusei is intrinsically resistant to fluconazole, an antifungal medication, and typically treated with alternatives such as echinocandins or amphotericin B.",Aspergillus niger - Voriconazole,Aspergillus fumigatus - Micafungin,Candida albicans - Amphotericin B,Candida Krusei - Fluconazole,D
Orthopedics,Lower Limb,Lower Limbs,Which of the following marked sites is responsible for the impairment of dorsiflexion due to injury?,"Injury to the common fibular nerve causes failure of dorsiflexion, making the neck of the fibula the correct answer.",A. 3,B. 2,C. 1,D. 4,A
Orthopedics,Lower Limb,Lower Limbs,Identify the marked bony process?,"Radial head: Located at the proximal end of the radius, it articulates with the capitulum of the humerus, allowing rotational movements of the forearm.",A. Capitulum,B. Olecranon,C. Trochlea,D. Radial head,D
Orthopedics,Lower Limb,Lower Limbs,The action of the muscle attached to the marked area?,"Gluteus medius: The muscle attached to the lateral surface of the greater trochanter is the gluteus medius, which is primarily responsible for the abduction of the hip joint, moving the leg away from the body's midline.",A. Flexion,B. Adduction,C. Abduction,D. Extension,C
Pediatrics,Miscellaneous,Mislancious,Identify the instrument given below.,A bone nibbler is used for cutting and shaping bone during orthopedic surgery.,Bone nibbler,Bone curette,Plate holding forceps,Bone holding forceps,A. Bone nibbler
Pediatrics,Musculoskeletal,Musculoskeletal Disorder,Which of the following is accurate regarding the biochemical parameters in vitamin D-dependent rickets? Metabolic bone disease Serum calcium PTH level A Decreased / normal Normal B Decreased / normal Increased C Decreased Increased D Increased Increased Metabolic bone disease Serum calcium PTH level ,Correct choice: B Explanation in vitamin D-dependent rickets (Nutritional) serum Ca is either decreased or normal and P TH level are increased Incorrect choices Other options are incorrect,A,B,C,D,B
Neurology,Neurology,Neuro,Identify the cranial nerve that arises from the marked part.,"The Abducens nerve arises from the pontomedullary junction, innervating the lateral rectus muscle for eye abduction. Damage causes double vision.",Oculomotor nerve,Glossopharyngeal nerve,Abducens nerve,Facial nerve,C
Neurology,Neurology,Neuro,Which structure is likely to be affected in a woman experiencing loss of sensations...,"The thalamus acts as a relay station for sensory information, and symptoms of sensory loss and abnormal processing suggest thalamic involvement.",A,B,C,D,B
Neurology,Neurology,Neuro,Which of the following labeled sites does SARS-COVID 19 utilize to propagate to the brain?,"SARS-CoV-2 primarily affects the respiratory system but can spread to the brain through the cribriform plate, a part of the ethmoid bone. The olfactory nerves pass through the cribriform plate, allowing the virus to reach the brain.",D,C,B,A,D
ENT,Nose & Sinuses,Nose And Paranasal Sinuses,Which of the following marked structures is a branch of the internal carotid artery?," • The structure marked as 1 represents the anterior ethmoidal artery, which is a branch of the
 ophthalmic artery. The ophthalmic artery is a branch of the internal carotid artery.",1,2,3,4,
Ophthalmology,Ocular Disorders,Ocular Adenexia,Identify the instrument.,The chalazion clamp is used for the surgical treatment of chalazia by holding the eyelid and providing pressure.,Evisceration spatula,Chalazion clamp,Enucleation spoon,Bone punch,B
Microbiology,Parasitology,Paracitology,"When collecting a stool sample, it is processed and labeled at various levels such as A, B, C, and D. In regards to examining the specimen under a microscope, please identify the specific level where parasitic ova can be observed."," The above process is the modified formalin ether sedimentation technique used to increase the concen
 tration of eggs of parasites from the samples.
As the egg's density is more than formalin and ether, it gets settled in the bottom of the tube due to gra
 vity. Therefore, level D is characterized by the presence of parasitic ova",A,B,C,D,D
Microbiology,Parasitology,Paracitology,Identify the organism?,"• The given organism is Ancylostoma braziliense
 • Cutaneous larva migrans, is caused by the larvae of Ancylostoma braziliense.
 • Ancylostoma braziliense is a hookworm that primarily infects dogs and cats.
 • The larvae of this parasite can penetrate the human skin, usually through direct contact with
 contaminated soil or sand.
 • Once in the skin, the larvae migrate and cause an inflammatory reaction, resulting in the characteristic
 serpiginous tracks seen in cutaneous larva migrans",Strongyloides stercolaris,Toxocara canis,Ancylostoma braziliense,Necator americanus,C
Orthopedics,Pelvis,Pelvis,Which of the following structures is not a component of the marked structure?,The 2nd palmar interossei muscle does not contribute to the dorsal digital expansion.,2nd dorsal interossei,Lumbricals extensor digitorum,Extensor digitorum,2nd palmar interossei,D
Orthopedics,Pelvis,Pelvis,"In the labeled structure, what is the classification of the joint observed?","The pubic symphysis is a secondary cartilaginous joint, slightly movable due to fibrocartilage.",Syndesmosis,Primary cartilaginous joints,Fibrous joint,Secondary cartilaginous joint,D
Rbc,General,Rbc,Identify the instrument:,A Klima needle is used for bone marrow aspiration.,A. Klima needle,B. Salah needle,C. Jamshidi needle,D. Islam needle,
Pediatrics,Respiratory,Respiratory System,Which structure in the pancreas is impacted in individuals with cystic fibrosis?," • B is acini. The acini are the functional units of the exocrine pancreas responsible for producing and
 secreting digestive enzymes into the pancreatic ducts. In cystic fibrosis, a genetic disorder caused by
 mutations in the cystic fibrosis transmembrane conductance regulator (CFTR) gene, there is a defect in
 the production or function of the CFTR protein. This leads to thick, sticky mucus forming in various
 organs, including the pancreas.
 • In the pancreas, the defective CFTR protein affects the secretion of chloride ions and water,
 dehydrating pancreatic secretions. This thickened mucus obstructs the pancreatic ducts, preventing the
 proper flow of digestive enzymes from the acini into the duodenum. Consequently, there is a reduction
 in the production and release of pancreatic enzymes, leading to impaired digestion and malabsorption
 of nutrients.",A,B,C,D,B
Thorax (1),General,Thorax,Which structure passes through the foramen marked by the arrow?,"The foramen marked by the arrow is the aortic hiatus, from which the thoracic duct passes. The thoracic duct drains lymphatic fluid from the lower body and left upper body.",A. Oesophagus,B. Inferior vena cava,C. Thoracic duct,D. Sympathetic trunk,C
Thorax (1),General,Thorax,Identify the arrow marked chamber.,The left atrium receives oxygenated blood from the lungs via the pulmonary veins and pushes it into the left ventricle for circulation.,A. Right atrium,B. Left atrium,C. Right ventricle,D. Left ventricle,B
Thorax (1),General,Thorax,"What structure develops from the region labeled as ""A"" in the model of embryological heart development?","The internal carotid artery primarily supplies the brain but does not supply the dura mater in the posterior cranial fossa, which is mainly supplied by branches of the vertebral arteries.",A. Atria,B. Left ventricle,C. Infundibulum,D. Interventricular septum,C
Thorax (1),General,Thorax,The region marked corresponds to the surface marking for which of the following structures:-,"The clavicle connects the sternum to the scapula and forms the acromioclavicular joint, making it the correct choice.",A. Thoracic duct,B. Right atrium,C. Inferomedial bronchopulmonary segments,D. Hilum,B
Thorax (1),General,Thorax,Marked structure is derived from the ?,The region marked corresponds to the surface marking for the right atrium.,A. Endocardial cushions,B. Septum primum,C. Left venous valve,D. Bulbous venosus,B
Thorax (1),General,Thorax,Which of the following does not supply the marked structure?,"The endocardial cushions are crucial in developing the heart's septa and valves, including the atrial septum and AV valves.",A. Right coronary artery,B. Anterior interventricular artery,C. Marginal artery,D. Diagonal artery,A
Thorax (1),General,Thorax,"In the given section of the heart, match the marked (A,B,C&D;) structures. Musculi pectinate Anterior papillary muscle of left ventricle Anterior papillary muscle of right ventricle Anterior leaflet of mitral valve membranous part of ventricular septum",The diagonal artery does not supply the right ventricle; it primarily supplies the left ventricle and the anterior walls of the heart.,"A. A-5, B-2, C-1, D-4","B. A-1, B-2, C-5, D-3","C. A-5, B-3, C-2, D-1","D. A-1, B-2, C-4, D-5",D
Toxicology,Toxicology,Toxicology,Identify the given plant.," • They're large and showy, with six bright yellow petals arranged around a central capsule. Keep in
 mind though, the petals sometimes have a slightly crumpled look, which gives the flowers a bit of an
 interesting flair.Then there's the seed pod, which is another key identifier. Once the flowers have
 bloomed and fallen off, you'll find seed capsules, which are prickly, oblong, and start off green but turn
 a dark brown or black as they mature.The foliage of the Argemone mexicana is blue-green in color,
 lobed, spiky, and has a somewhat thistle-like appearance. It has a prickly feel because of the presence
 of spines or bristles, which is a distinct characteristic of the plant. The plant as a whole has a very
upright growth habit.",Datura alba,Argemone mexicana,Nerium odorum,Papaver somniferum,B
Toxicology,Toxicology,Toxicology,Identify the plant which produces a deliriant toxin.,"Erythroxylum coca, commonly known as the coca plant, contains the alkaloid cocaine. While cocaine
 is primarily known as a powerful stimulant, it can induce delirium and hallucinations at high doses or in
 certain circumstances. Thus, Erythroxylum coca can produce a deliriant effect when consumed in large
 quantities.",A. Erythroxylum coca,B. Datura,C. Hyoscine,D. Digitalis purpura,A
Orthopedics,Upper Limb,Upper Limb,"Where is the probable location of injury in a 25-year-old male who is experiencing difficulty flexing the distal interphalangeal joint of the 4th and 5th fingers, as well as an inability to grip a piece of paper between his fingers?","The ulnar nerve runs near the medial epicondyle, which explains the loss of grip strength and inability to flex the distal interphalangeal joints of the 4th and 5th digits.",A,B,C,D,C
Orthopedics,Upper Limb,Upper Limb,Which of the following statements is true about the lesion of the structure indicated by the arrow?,"The lesion leads to wrist drop due to weakness or paralysis of the extensor muscles, commonly caused by radial nerve damage.",Ape thumb deformity,Claw hand,Claudication,Wrist drop,D
Orthopedics,Upper Limb,Upper Limb,"Which structure is most likely to be impacted in a man who previously relied on crutches and now displays tingling and paraesthesia on the inner side of the arm, forearm, and hand?","The structure A is the brachial plexus, a network of nerves providing motor and sensory innervation to the upper extremities.",A,B,C,D,A
Orthopedics,Upper Limb,"Upper Limbs , General",Identify the given fracture?,A Colles fracture is a distal radius fracture that occurs when a person falls on an outstretched hand.,Colles Fracture,Monteggia Fracture,Galeazzi Fracture,None of the above,A
Orthopedics,Upper Limb,"Upper Limbs , General",Identify the carpal bone that is most commonly fractured after a fall on an outstretched hand.,The scaphoid bone is the most commonly fractured carpal bone following a fall on an outstretched hand due to its position and load-bearing function.,A (Scaphoid),B (Lunate),C (Triquetrum),D (Capitate),A
Orthopedics,Upper Limb,"Upper Limbs , General",Identify the following fracture?,"Barton's fracture involves a fracture of the distal radius with dislocation of the wrist joint, typically seen in falls on an outstretched hand.",Colles Fracture,Monteggia Fracture,Barton's Fracture,None of the above,B
Urology,Urology,Urology,What does the number(14Fr) marked on the Foley catheter correspond to?,"Correct Option C - Outer tube diameter: → The number marked on the Foley catheter corresponds to the outer tube diameter. It indicates the size or diameter of the catheter, typically measured in French (Fr) units. The French scale is a unit of measurement commonly used for catheters, where 1 French (Fr) is equal to 0.33 mm in diameter.",Inner lumen diameter,Length of the tube,Outer tube diameter,Bulb size,C
Microbiology,Virology,Virology,Identify the organism?," Hantavirus is a single-stranded RNA virus responsible for causing Hantavirus pulmonary syndrome. Th
 e main target site for Hantavirus is the lungs.",A. Influenza virus,B. Hantavirus,C. Adenovirus,D. None of above,B
Voilent Asphyxia,General,Voilent Asphyxia,Identify the type of homicide,"• Burking is a type of homicide caused by smothering and traumatic asphyxia. In this method, the attacker kneels or sits on the chest of the victim and closes the victim’s mouth and nose with his or her hands.",Mugging,Garrotting,Burking,Bansdola,C
Microbiology,Bacteriology,Bacteriology,What does Burkholderia cepacia exhibit resistance to among the options provided?,"Cefotetan: Burkholderia cepacia exhibits intrinsic resistance to cefotetan due to mechanisms like efflux pumps and target site alterations. It is resistant to several antibiotics, making treatment challenging.",Ceftazidime,Trimethoprim – sulfamethoxazole,Temocillin,Cefotetan,D
Microbiology,Bacteriology,Bacteriology,Which bacterium exhibits the Quellung reaction?,"Treponema pertenue is the bacterium that causes yaws, a tropical disease affecting the skin, bones, and joints. It is a subspecies of Treponema pallidum, which is known for causing syphilis.",Streptococcus pneumoniae,Clostridium tetani,Vibrio cholerae,Staphylococcus,A
Biostatics,General,Biostatics,Identify the formula given below:,"Standard deviation is a measure of the variation or spread within a data set. It quantifies how much individual data points differ from the mean. In a normal distribution, it provides insights into the percentage of data points that fall within one, two, or three standard deviations from the mean (68%, 95%, and 99.7%, respectively).",Standard deviation,Standard error,Median,Variance,A
Carbohydrate Chemistry,General,Carbohydrate Chemistry,The meal that exhibits the highest thermic effect is characterized by,"Protein has the highest thermic effect among macronutrients, using about 20-30% of its energy during digestion and metabolism, significantly increasing energy expenditure compared to fat and carbohydrates.",Protein,Fat,Carbohydrates,Mixed meal having all 3 in equal amount,A
Cardiology,General Cardiology,Cardiology Surgery,"What is the most appropriate next course of action in managing a patient who has arrived with multiple stab wounds to the chest, exhibiting reduced chest movement on the right side, tracheal deviation to the left side, and distended neck veins?","Correct Option C - Needle thoracocentesis: → Needle thoracocentesis involves inserting a large-bore needle into the pleural space to release trapped air or fluid. In the case of a tension pneumothorax, this procedure can quickly decompress the affected side of the chest, relieving the pressure and improving the patient's condition.",Resuscitative thoracotomy,ICD placement,Needle thoracocentesis,Finger thoracotomy,C
Cardiology,General Cardiology,Cardiology,"What is the diagnosis of a patient who exhibits dyspnea and increased distension of neck veins upon inspiration, with no murmur detected?","Constrictive pericarditis is characterized by inflammation and fibrosis of the pericardium, leading to impaired heart filling during diastole, causing dyspnea and distended neck veins (Kussmaul's sign).",Constrictive pericarditis,Aortic regurgitation,Tricuspid stenosis,Pulmonary arterial hypertension,A
Psychiatry,Child Psychiatry,Child Psychiatry,"What could be the diagnosis for a child who exhibits below-average mathematical skills despite having normal IQ and age-appropriate learning abilities, and remains unaffected by a year-long private mathematics tutoring?","• The information suggests that the child most likely has a mathematically impaired specific learning
 disorder (SLD). A neurodevelopmental disorder known as SLD impairs a person's capacity for
 learning in one or more particular subject areas, such as reading, writing, or mathematics.
 Individuals with SLD might have ordinary knowledge, yet they are portrayed by a determined
 debilitation in something like one of three significant regions: perusing, composed articulation, as
 well as math. They may likewise experience issues with additional mind-boggling abilities, like
 understanding cognizance or tackling numerical questions.",ADHD,Mathematics learning disorder,Asperger syndrome,Specific learning disorder,D
Pharmacology,Pharmacology,Cns.pharma,"A 29-year-old woman presented to the psychiatry outpatient department (OPD) exhibiting symptoms of hypomania. She has a previous history of a manic episode. Currently, she is considering pregnancy. Which medication should be avoided due to its high teratogenic potential for the developing fetus?"," • Valproate is a medication that is commonly used to treat bipolar disorder and seizures. However, it is
 known to be highly teratogenic,
 • The risk of birth defects is highest when valproate is taken during the first trimester of pregnancy.",Valproate,Lithium,Oxcarbazepine,Olanzapine,
Pharmacology,Pharmacology,Cns.pharma,"What medication would be appropriate for the long-term treatment of a young male who exhibits symptoms of decreased sleep, increased activity levels, and heightened mood, and also has a family history of manic episodes?","• Lithium carbonate is the drug of choice for long-term treatment of bipolar disorder, particularly for
 managing episodes of mania.
 • It helps stabilize mood, reduce the frequency and intensity of manic episodes, and prevent relapses.
 • It is considered the gold standard in the treatment of bipolar disorder, especially in patients with a
 family history of mania. Therefore, this is the correct answer",Sodium valproate,Lithium carbonate,Carbamazepine,Barbiturates,
Ophthalmology,Cornea,Cornea,Which of the subsequent options does not exhibit a characteristic of keratoconus?,"Haab’s striae: Keratoconus is a non-inflammatory eye condition where the normally round dome-shaped cornea progressively thins and weakens, leading to the development of a cone-like bulge. Haab’s striae, horizontal lines on the Descemet's membrane of the cornea, are not found in keratoconus. Instead, they are typically associated with congenital glaucoma.",Haab’s striae,Munson’s sign,Irregular astigmatism,Scissoring reflex,A
Pharmacology,Pharmacology,Cvs Pharma,"Which anti-hypertensive medication is suitable for administration to a patient suffering from renal insufficiency, exhibiting symptoms of significantly reduced urine output, pedal edema, headache, and a blood pressure reading of 160/90?","In the given scenario, with a patient presenting with renal insufficiency, very low urine output, pedal edema, headache, and high blood pressure (BP 160/90), the most appropriate anti-hypertensive option would be amlodipine. Amlodipine is a calcium channel blocker that is commonly used to treat hypertension. It works by relaxing and dilating the blood vessels, which leads to a reduction in blood pressure. Amlodipine is often well-tolerated and can be used in patients with renal insufficiency.",Aliskiren,Chlorthalidone,Amlodipine,Prazosin,C
Psychiatry,Eating Disorders,Eating Disorder,The likely diagnosis for a girl who exhibits typical language milestones but primarily focuses on observing her own hands and lacks interaction with others is:," • Asperger's Syndrome: Asperger's Syndrome is an older term that was once used to describe a
 subtype of autism characterized by higher cognitive abilities and less severe language
 impairments. However, in current diagnostic criteria, Asperger's Syndrome is no longer recognized
 as a separate diagnosis. The symptoms associated with Asperger's Syndrome overlap with those
 of autism, including social interaction difficulties and repetitive behaviors",ADHD,Autism,Asperger's syndrome,Rett's syndrome,C
Emergency Medicine,Emergency,Emergency Medicine,"Please match the following medical conditions with their corresponding descriptions: A) Caplan syndrome- 1) Initially observed in coal workers B) Asbestosis- 2) Presents with a characteristic ""crazy pavement"" appearance C) Mesothelioma- 3) Affects the lower lobe of the lungs D) Sarcoidosis- 4) Exhibits the presence of pleural effusion","A) Caplan syndrome - Found first in coal workers; characterized by lung nodules and rheumatoid arthritis.
B) Asbestosis - Pleural effusion is seen; lung disease from asbestos.
C) Mesothelioma - Involves lower lobe; a cancer affecting the pleura.
D) Sarcoidosis - Crazy pavement; a systemic disease affecting the lungs.","A. A-1, B-4, C-3, D-2","B. A-4, B-2, C-3, D-1","C. A-3, B-4, C-2, D-1","D. A-2, B-4, C-3, D-1","A-1, B-4, C-3, D-2"
Endocrinology,Endocrine Disorders,Endocrine,"Which of the microorganisms listed below will exhibit intrinsic resistance to meropenem and aminoglycosides, but have sensitivity to cotrimoxazole?","The correct microorganism that is resistant to meropenem and aminoglycosides but sensitive to cotrimoxazole is Stenotrophomonas. This Gram-negative bacterium is known for its intrinsic resistance to many antibiotics, including meropenem and aminoglycosides, making them ineffective for treatment. However, cotrimoxazole is effective against Stenotrophomonas infections.",Burkholderia cepacia,Acinetobacter,Pseudomonas,Stenotrophomonas,D
Endocrinology,Endocrine Disorders,Endocrine Pharma,"What is the medication administered to a female patient with diabetes that resulted in a decrease in her HbA1c levels from 7.6 to 6.7? The patient exhibited elevated GIP and GLP1 levels, along with decreased glucagon levels.","• Sitagliptin is an oral medication classified as a dipeptidyl peptidase-4 (DPP-4) inhibitor. It works by
 inhibiting the enzyme DPP-4, which breaks down incretin hormones such as GLP-1 and GIP. By
 inhibiting DPP-4, sitagliptin increases the levels of GLP-1 and GIP, which stimulate insulin secretion
 and reduce glucagon secretion. This helps lower blood sugar levels. Sitagliptin is known to reduce
 HbA1c levels in patients with diabetes, making it a suitable option based on the provided information of
 high GIP and GLP1 levels along with low glucagon levels.
 Therefore, in this scenario, the most appropriate drug given to the patient would be Sitagliptin.",Liraglutide,Pramlintide,Voglibose,Sitagliptin,D
Endocrinology,Endocrine Disorders,Endocrine,Which condition exhibits the highest levels of ACTH and cortisol?,Cushing’s disease results in elevated ACTH and cortisol due to pituitary tumor activity.,Early morning,Normal individuals with dexamethasone administration,Addison’s disease,Cushing’s disease,D
Enzymes,General,Enzymes,"Out of the enzymes listed below, which one exhibits the greatest catalytic efficiency?"," Catalytic efficiency, also known as specificity constant, is a measure of how effectively an enzyme con
 verts substrate to product. It is calculated as the ratio of the catalytic rate constant (Kcat) to the Michael
 is constant (Km).
 Correct Option C:
 Km of an enzyme = 2 micromole and Kcat = 200 per sec: Catalytic efficiency = Kcat / Km = 200 / 2 =
 100 per micromole per sec",Km of an enzyme = 10 micromole and Kcat = 20 per sec,Km of an enzyme = 2000 nanomole and Kcat = 50 per sec,Km of an enzyme = 2 micromole and Kcat = 200 per sec,Km of an enzyme = 4 micromole and Kcat = 200 per sec,
Excretory System,General,Excretory System,"Among the given options, which organ exhibits the smallest disparity in oxygen levels between the arteries and veins?",The kidneys have the least arteriovenous oxygen difference due to lower metabolic demand.,Brain,Kidney,Skin,Liver,B
Pediatrics,Fluid & Electrolyte,Fluid And Electrolyte,"What is the probable reason for the ineffectiveness of the treatment in a 10-month-old child with diarrhea and low potassium levels, who also exhibits muscular weakness during examination?","Correct Option A: → Diarrheal stools contain large amounts of potassium. Therefore, the serum level of potassium invariably falls, if diarrhea persists for more than a few days. → Hypokalemia can be caused either by decreased intake of potassium or by excessive losses of potassium in the urine or through the GI tract. The latter is more common. → In this case Gastrointestinal losses of potassium is occuring due to prolonged diarrhea is the cause. or vomiting, chronic laxative abuse, intestinal obstruction or infections. Hypomagnesemia is very important. → More than 50% of clinically significant hypokalemia has concomitant magnesium deficiency and is clinically most frequently observed in individuals receiving loop or thiazide diuretic therapy. → Concomitant magnesium deficiency has long been appreciated to aggravate hypokalemia. Hypokalemia associated with magnesium deficiency is often refractory to treatment with K+. → Hypomagnesemia develops from decreased intake or more commonly increased losses which could be gastrointestinal (diarrhea, vomiting, nasogastric suction) or renal (chronic use of thiazide diuretics, recovery phase of acute tubular necrosis, Gitelman syndrome, familial hypomagnesemia-hypercalciuria-nephrocalcinosis). → Symptomatic magnesium depletion (occurs at levels below 1.2 mg/dL) is often associated with multiple biochemical abnormalities, including hypokalemia, hypocalcemia and metabolic acidosis.",Hypomagnesemia,Hyponatremia,Hypermagnesemia,Hypernatremia,A
Pediatrics,Fluid & Electrolyte,Fluid And Electrolyte,"What is the most appropriate course of action for the treatment of a 3-year-old child weighing 12 kg, who is experiencing diarrhea, exhibiting signs of thirst, drinking eagerly, lacking tears, and demonstrating slow skin pinch recovery?","The most appropriate course of action for the treatment of a 3-year-old child with signs of dehydration due to diarrhea is 3. 900 ml ORS (Oral Rehydration Solution) over 4 hours. Here's an explanation of the options: 1200 ml RL (Ringer's Lactate) over 12 hours: Intravenous (IV) fluid administration is not the first-line tre atment for mild to moderate dehydration in children with diarrhea. Oral rehydration is preferred whenev er possible. 600 ml RL over 6 hours: Similar to option 1, IV fluid administration is not the first-line approach for mild to moderate dehydration due to diarrhea in children. Oral rehydration is the preferred method. 900 ml ORS over 4 hours: This is the correct answer. Oral rehydration is the cornerstone of treatment f or dehydration due to diarrhea. ORS is a balanced solution that contains electrolytes and glucose to he lp replace lost fluids and electrolytes. In this case, giving 900 ml of ORS over 4 hours is a reasonable approach to rehydrate the child and correct the dehydration. 300 ml ORS per episode of loose stool: This approach may not be sufficient to prevent or correct dehy dration, especially if the child is having frequent episodes of loose stools. A continuous administration of ORS over a set time frame (as in option 3) is more appropriate. oach.",1200 ml RL over 12 hours,600 ml RL over 6 hours,900 ml ORS over 4 hours,300 ml ORS per episode of loose stool,C
Gastroenterology,Gastrointestinal,Gastro Radio,"What is the most probable diagnosis for a 51-year-old man who presents with abdominal pain and blood in his stools, based on the findings from his barium study of the intestines?","Intussusception is often indicated by a ""target"" or ""donut"" sign on imaging studies like barium enema, and is a common cause of abdominal pain and bleeding.",Intussusception,Volvulus,Diverticulitis,Ulcerative colitis,A
